island,name,coords,x_coord,y_coord,type,voltage,nearest_bus,dist_to_bus_m,notes_on_nearest_bus,capacity_mw,Gen Pot. Fraction ,size,percent,gen_pv,gen_june,gen_at_peak_demand_summer,gen_at_peak_demand_winter
Ibiza,Elvissa,"(38.919167, 1.430833)",1.430833,38.919167,Nat gas/diesel,132,0,0.429234,,292.00,,9108533.00,0.15,189.76,44.00,167.00,54.00
Ibiza,Saint Francesco,"(38.691944, 1.463611)",1.463611,38.691944,Nat gas,132,0,32663.65213,Connects by sea link,14.00,,,0.00,0.00,0.00,0.00,0.00
Mallorca,Son Reus,"(39.648611, 2.680000)",2.68,39.648611,Gas+solar+waste,220,4,343.832448,,432.80,0.32,,0.00,0.00,326.00,197.00,332.00
Mallorca,Cas Tresorer,"(39.567500, 2.689444)",2.689444,39.5675,Gas,220,5,3916.531035,,400.00,0.29,6520527,0.11,135.84,288.00,165.00,291.00
Mallorca,Murterar,"(39.809722, 3.091944)",3.091944,39.809722,Coal/oil ,220,8,74.167585,,527.80,0.39,13781319,0.22,287.11,74,328.00,0.00
Menorca,Mahon (Mao),"(39.896944, 4.258611)",4.258611,39.896944,Oil,132,16,0,,245.00,,2510819,0.04,52.31,54.00,112.40,51.60
Mallorca,Son Orlandis,"(2.744444, 39.60028)",2.74444,39.60028,Solar,220,6,0,,,,5961407.00,0.10,124.19,0,0,0
Mallorca,Llubi,"(3.0925, 39.80944)",3.0925,39.80944,Solar,220,7,0,,,,4232996,0.07,88.19,0,0,0
Menorca,Cuitadella,"(3.855278, 40.00333)",3.855278,40.00333,Solar,132,13,0,,,,3815929,0.06,79.50,0,0,0
Mallorca,Es Bessons,"(3.158056, 39.58194)",3.158056,39.58194,Solar,220,9,0,,,,6962594,0.11,145.05,0,0,0
Mallorca,Santa Ponca (220),"(2.507937, 39.53662)",2.0507937,39.53662,Solar,220,2,0,,,,8451047,0.14,176.06,0,0,0
