from_bus,to_bus,length_km,cable_type,bundle_no,Dm,A,Rb,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,cables,voltage,location
0,1,126,Underwater,N/A,N/A,500,N/A,0.053,0.11932,1.70E-09,1.818,1,132,underwater
2,3,5.599701026,Condor,2,11,402.3,0.06639006131,0.01213833333,0.3210772522,1.00E-09,0.975,6,220,overhead
3,4,15.0251435,Merlin,2,11,402.3,0.06639006131,0.0573,0.33458,1.00E-09,0.56,3,220,overhead
3,4,14.89767194,Merlin,2,11,402.3,0.06639006131,0.0573,0.33458,1.00E-09,0.56,3,220,overhead
4,6,9.417887811,Stilt,2,11,402.3,0.06639006131,0.027013,0.322682,1.00E-09,0.92,3,220,overhead
4,7,33.83044957,Dove,2,11,402.3,0.06639006131,0.034433,0.326649,1.00E-09,0.79,3,220,overhead
6,5,4.357733029,Bluejay,2,11,402.3,0.06639006131,0.0178267,0.315719,1.00E-09,1.205,3,220,overhead
6,7,28.90620588,Egret,2,11,402.3,0.06639006131,0.029967,0.324565,1.00E-09,0.87,3,220,overhead
7,8,16.77022419,Pelican,2,11,402.3,0.06639006131,0.040567,0.329077,1.00E-09,0.7,3,220,overhead
7,8,16.06356958,Pelican,2,11,402.3,0.06639006131,0.040567,0.329077,1.00E-09,0.7,3,220,overhead
7,9,15.17717666,Pelican,2,11,402.3,0.06639006131,0.040567,0.329077,1.00E-09,0.7,3,220,overhead
7,9,14.95413245,Pelican,2,11,402.3,0.06639006131,0.040567,0.329077,1.00E-09,0.7,3,220,overhead
10,11,30.27638553,Condor,2,8.75,402.3,0.06639006131,0.02427666667,0.3066987121,1.00E-09,0.975,3,132,overhead
11,12,52.942,Underwater,N/A,N/A,500,N/A,0.053,0.11932,1.70E-09,1.818,1,132,underwater
12,13,8.201424711,Merlin,2,8.75,402.3,0.0573,0.0573,0.33458,1.00E-09,0.56,3,132,overhead
13,15,35.54556277,Raven,2,8.75,402.3,0.06639006131,0.179,0.352764,1.00E-09,0.255,3,132,overhead
13,14,21.13216069,Raven,2,8.75,402.3,0.06639006131,0.179,0.352764,1.00E-09,0.255,3,132,overhead
14,15,15.43937444,Pigeon,2,8.75,402.3,0.06639006131,0.112867,0.345464,1.00E-09,0.34,3,132,overhead
15,16,4.712656534,Peacock,2,8.75,402.3,0.06639006131,0.031823,0.325366,1.00E-09,0.83,3,132,overhead
