location,bus_id2,bus_id,name,vn_kv,population,demand_share,june_p_mw,june_q_mvar,summer_p_mw,summer_q_mvar,summer_s,winter_p_mw,winter_q_mvar,winter_s
Ibiza,0,0,Ibiza (+ Formentura),132,160000,1.0000,138,66.792,206,99.704,194.9217681,126,60.984,143.0124408
Majorca,1l,1,Santa Ponsa (132),132,103111,0.1111,70.55555556,34.14888889,105.8888889,51.25022222,125.6162506,64.55555556,31.24488889,92.16357293
Majorca,2,3,Valldurgent,220,103111,0.1111,70.55555556,34.14888889,105.8888889,51.25022222,125.6162506,64.55555556,31.24488889,92.16357293
Majorca,3,4,Son Reus,220,103111,0.1111,70.55555556,34.14888889,105.8888889,51.25022222,125.6162506,64.55555556,31.24488889,92.16357293
Majorca,4l,5.1,Portol (Cas Tresorer) (66),66,103111,0.1111,70.55555556,34.14888889,105.8888889,51.25022222,125.6162506,64.55555556,31.24488889,92.16357293
Majorca,5,6,Son Orlandis,220,103111,0.1111,70.55555556,34.14888889,105.8888889,51.25022222,125.6162506,64.55555556,31.24488889,92.16357293
Majorca,6,7,Llubi,220,103111,0.1111,70.55555556,34.14888889,105.8888889,51.25022222,125.6162506,64.55555556,31.24488889,92.16357293
Majorca,7,8,Murterar,220,103111,0.1111,70.55555556,34.14888889,105.8888889,51.25022222,125.6162506,64.55555556,31.24488889,92.16357293
Majorca,8l,10,Es Bessons (132),132,103111,0.1111,70.55555556,34.14888889,105.8888889,51.25022222,125.6162506,64.55555556,31.24488889,92.16357293
Majorca,9,11,Cala Mesquida,132,103111,0.1111,70.55555556,34.14888889,105.8888889,51.25022222,125.6162506,64.55555556,31.24488889,92.16357293
Minorca,10,12,Cala en Bosch,132,7000,0.0697,5.08979352,2.463460064,7.878721476,3.813301194,8.527827354,4.810900724,2.32847595,6.256794283
Minorca,11,13,Cuitadella,132,29840,0.2972,21.69706266,10.50137833,33.58586412,16.25555823,36.35290975,20.50818252,9.925960337,26.6718202
Minorca,12,14,Es Mercadal,132,20285,0.2020,14.74949451,7.138755341,22.83140931,11.0504021,24.71242541,13.94130303,6.747590665,18.131296
Minorca,13,15,Dragonera,132,14232,0.1418,10.34827734,5.008566232,16.01856629,7.752986085,17.33829127,9.781248444,4.734124247,12.72095661
Minorca,14,16,Mao,132,29040,0.2893,21.11537197,10.21984004,32.68543881,15.81975238,35.37830091,19.95836529,9.6598488,25.956758
,,,,,,,,,,,,956,463.0119325,1062.222222
,,,,,,,,1017.6,,,1447.777778,,,
,,,,,,,,09.08.2019,,,,,,
