location,bus_id2,bus_id,name,vn_kv,population,demand_share,summer_p_mw,summer_q_mvar,summer_s,winter_p_mw,winter_q_mvar,winter_s
Ibiza,0,0,Ibiza (+ Formentura),132,160000,0.1346,175.4295913,84.96442895,194.9217681,128.7111967,62.33767772,143.0124408
Majorca,1l,1,Santa Ponsa (132),132,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293
Majorca,2,3,Valldurgent,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293
Majorca,3,4,Son Reus,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293
Majorca,4l,17,Portol (Cas Tresorer) (66),66,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293
Majorca,5,6,Son Orlandis,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293
Majorca,6,7,Llubi,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293
Majorca,7,8,Murterar,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293
Majorca,8l,10,Es Bessons (132),132,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293
Majorca,9,11,Cala Mesquida,132,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293
Majorca,10,12,Cala en Bosch,132,7000,0.0059,7.675044619,3.717193766,8.527827354,5.631114855,2.7272734,6.256794283
Minorca,11,13,Cuitadella,132,29840,0.0251,32.71761878,15.845866,36.35290975,24.00463818,11.6259769,26.6718202
Minorca,12,14,Es Mercadal,132,20285,0.0171,22.24118287,10.77189651,24.71242541,16.3181664,7.903248704,18.131296
Minorca,13,15,Dragonera,132,14232,0.012,15.60446215,7.557585955,17.33829127,11.44886094,5.544936433,12.72095661
Minorca,14,16,Mao,132,29040,0.0244,31.84047082,15.42104385,35.37830091,23.3610822,11.31428851,25.956758
