bus_id2,bus_id,name,vn_kv,geodata
0,0,Ibiza (plus Formentura),132,"(1.430833, 38.91917)"
1l,1,Santa Ponca (132),132,"(2.506454, 39.53525)"
1h,2,Santa Ponca (220),220,"(2.507937, 39.53662)"
2,3,Valldurgent,220,"(2.549167, 39.58417)"
3,4,Son Reus,220,"(2.678889, 39.65083)"
4h,5,Portol (Cas Tresorer) (220),220,"(2.724617, 39.56686)"
4l,6,Portol (Cas Tresorer) (66),66,"(2.724617, 39.56686)"
5,7,Son Orlandis,220,"(2.744444, 39.60028)"
6,8,Llubi,220,"(3.039444, 39.67333)"
7,9,Murterar,220,"(3.0925, 39.80944)"
8h,10,Es Bessons (220),220,"(3.158056, 39.58194)"
8l,11,Es Bessons (132),132,"(3.159638, 39.58209)"
9,12,Cala Mesquida,132,"(3.427024, 39.73827)"
10,13,Cala en Bosch,132,"(3.834227, 39.93175)"
11,14,Cuitadella,132,"(3.855278, 40.00333)"
12,15,Es Mercadal,132,"(4.095556, 39.97694)"
13,16,Dragonera,132,"(4.236667, 39.89111)"
14,17,Mao,132,"(4.258155, 39.89706)"
