Line_no,from_bus,to_bus,length_km,cable_type,bundle_no,Dm,A,Rb,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,cables,voltage,location,r_before,r_after
0,0,1,126,Biggest,N/A,N/A,500,N/A,0.053,0.11932,1.70E-09,0.545,1,132,underwater,0.053,0.053
1,2,3,5.599701026,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,6,220,overhead,0.012138333,0.07283
2,3,4,15.0251435,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
3,3,4,14.89767194,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
4,4,7,9.417887811,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
5,4,8,33.83044957,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
6,7,5,4.357733029,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
7,7,8,28.90620588,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
8,8,9,16.77022419,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
9,8,9,16.06356958,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
10,8,10,15.17717666,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
11,8,10,14.95413245,Condor,2,11,402.3,0.066390061,0.07283,0.321077252,1.00E-09,0.975,3,220,overhead,0.024276667,0.07283
12,11,12,30.27638553,Condor,2,8.75,402.3,0.066390061,0.07283,0.306698712,1.00E-09,0.975,3,132,overhead,0.024276667,0.07283
13,12,13,52.942,Biggest,N/A,N/A,500,N/A,0.053,0.11932,1.70E-09,0.545,1,132,underwater,0.053,0.053
14,13,14,8.201424711,Condor,2,8.75,402.3,0.066390061,0.07283,0.306698712,1.00E-09,0.975,3,132,overhead,0.024276667,0.07283
15,14,16,35.54556277,Condor,2,8.75,402.3,0.066390061,0.07283,0.306698712,1.00E-09,0.975,3,132,overhead,0.024276667,0.07283
16,14,15,21.13216069,Condor,2,8.75,402.3,0.066390061,0.07283,0.306698712,1.00E-09,0.975,3,132,overhead,0.024276667,0.07283
17,15,16,15.43937444,Condor,2,8.75,402.3,0.066390061,0.07283,0.306698712,1.00E-09,0.975,3,132,overhead,0.024276667,0.07283
18,16,17,4.712656534,Condor,2,8.75,402.3,0.066390061,0.07283,0.306698712,1.00E-09,0.975,3,132,overhead,0.024276667,0.07283
