location,bus_id2,bus_id,name,vn_kv,population,demand_share,summer_p_mw,summer_q_mvar,summer_s,winter_p_mw,winter_q_mvar,winter_s,june_2021_p_mw,june_2021_q_mvar
Ibiza,0,0,Ibiza (+ Formentura),132,160000,0.1346,175.4295913,84.96442895,194.9217681,128.7111967,62.33767772,143.0124408,118.613561,57.44716953
Majorca,1l,1,Santa Ponsa (132),132,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293,76.43985039,37.02150925
Majorca,2,3,Valldurgent,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293,76.43985039,37.02150925
Majorca,3,4,Son Reus,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293,76.43985039,37.02150925
Majorca,4l,6,Portol (Cas Tresorer) (66),66,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293,76.43985039,37.02150925
Majorca,5,7,Son Orlandis,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293,76.43985039,37.02150925
Majorca,6,8,Llubi,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293,76.43985039,37.02150925
Majorca,7,9,Murterar,220,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293,76.43985039,37.02150925
Majorca,8l,11,Es Bessons (132),132,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293,76.43985039,37.02150925
Majorca,9,12,Cala Mesquida,132,103111,0.0868,113.0546255,54.75485421,125.6162506,82.94721564,40.17317009,92.16357293,76.43985039,37.02150925
Majorca,10,13,Cala en Bosch,132,7000,0.0059,7.675044619,3.717193766,8.527827354,5.631114855,2.7272734,6.256794283,5.189343292,2.513313667
Minorca,11,14,Cuitadella,132,29840,0.0251,32.71761878,15.845866,36.35290975,24.00463818,11.6259769,26.6718202,22.12142912,10.71389712
Minorca,12,15,Es Mercadal,132,20285,0.0171,22.24118287,10.77189651,24.71242541,16.3181664,7.903248704,18.131296,15.03797553,7.283223962
Minorca,13,16,Dragonera,132,14232,0.012,15.60446215,7.557585955,17.33829127,11.44886094,5.544936433,12.72095661,10.55067625,5.10992573
Minorca,14,17,Mao,132,29040,0.0244,31.84047082,15.42104385,35.37830091,23.3610822,11.31428851,25.956758,21.52836131,10.42666127
