Estructura de generación (MW),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hora,Carbón,Motores diésel,Turbina de gas,Ciclo combinado,Enlace peninsular,Solar fotovoltaica,Resto reg.esp.,Solar térmica,Eólica,Enlace Mallorca-Menorca,Enlace Mallorca-Ibiza,Otras renovables,Residuos,Generación auxiliar,Cogeneración,Enlace Ibiza-Formentera,Combined Generation Total,Max Generation
01/07/19 00:00,0,35,35,0,0,0,0,0,0.3,0,0,0,0,0,0,0,70.3,100.7
01/07/19 00:10,0,35,34,0,0,0,0,0,0.3,0,0,0,0,0,0,0,69.3,
01/07/19 00:20,0,35,32,0,0,0,0,0,0.3,0,0,0,0,0,0,0,67.3,
01/07/19 00:30,0,34,30,0,0,0,0,0,0.4,0,0,0,0,0,0,0,64.4,
01/07/19 00:40,0,31,32,0,0,0,0,0,0.6,0,0,0,0,0,0,0,63.6,
01/07/19 00:50,0,32,31,0,0,0,0,0,0.7,0,0,0,0,0,0,0,63.7,
01/07/19 01:00,0,31,31,0,0,0,0,0,0.7,0,0,0,0,0,0,0,62.7,
01/07/19 01:10,0,32,30,0,0,0,0,0,0.7,0,0,0,0,0,0,0,62.7,
01/07/19 01:20,0,32,28,0,0,0,0,0,0.6,0,0,0,0,0,0,0,60.6,
01/07/19 01:30,0,32,28,0,0,0,0,0,0.4,0,0,0,0,0,0,0,60.4,
01/07/19 01:40,0,31,26,0,0,0,0,0,0.3,0,0,0,0,0,0,0,57.3,
01/07/19 01:50,0,32,26,0,0,0,0,0,0.3,0,0,0,0,0,0,0,58.3,
01/07/19 02:00,0,31,25,0,0,0,0,0,0.3,0,0,0,0,0,0,0,56.3,
01/07/19 02:10,0,32,25,0,0,0,0,0,0.2,0,0,0,0,0,0,0,57.2,
01/07/19 02:20,0,30,23.6,0,0,0,0,0,0.1,0,0,0,0,0,0,0,53.7,
01/07/19 02:30,0,31,23.4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,54.5,
01/07/19 02:40,0,31,22.7,0,0,0,0,0,0.2,0,0,0,0,0,0,0,53.9,
01/07/19 02:50,0,31,22,0,0,0,0,0,0.3,0,0,0,0,0,0,0,53.3,
01/07/19 03:00,0,31,22.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0,54.2,
01/07/19 03:10,0,31,22.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,53.6,
01/07/19 03:20,0,31,21.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,52.6,
01/07/19 03:30,0,31,21.4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,52.5,
01/07/19 03:40,0,32,20.7,0,0,0,0,0,0.2,0,0,0,0,0,0,0,52.9,
01/07/19 03:50,0,31,21.4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,52.5,
01/07/19 04:00,0,32,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9,
01/07/19 04:10,0,30,20.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,50.3,
